Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
50,1,1,1,1,2,1,6,1,2,7985,0,1.032,3873,0.674,0
50,2,0,3,3,4,1,3,3,2,5444,2499,0.468,4509,0.667,0.459
26,1,0,1,2,2,1,6,3,4,1643,1101,0.713,2152,0.471,0.67
65,1,0,4,2,1,1,3,3,0,2022,0,0.579,4623,0.548,0
46,2,3,1,2,3,1,6,3,4,4930,0,1.019,3343,0.638,0
50,2,4,2,1,4,1,5,1,4,10226,1638,1.053,3321,1.036,0.16
56,1,4,3,2,2,1,5,1,1,3334,1272,1.12,4284,0.587,0.382
32,1,0,2,2,2,1,2,3,1,4251,2295,0.628,15574,0.797,0.54
61,1,0,3,1,1,1,4,2,3,2194,1512,0.725,4069,0.778,0.689
52,2,1,1,1,5,1,6,1,4,9274,2097,0.776,2048,0.639,0.226
48,1,2,3,2,2,1,2,3,1,3072,1734,0.754,4540,0.857,0.564
53,2,4,2,1,3,1,4,2,3,15242,1170,0.496,1876,0.5,0.077
39,2,2,6,2,4,1,4,1,3,5341,0,0.771,1955,0.808,0
38,2,1,2,2,5,1,5,3,3,10874,2415,0.933,4619,0.372,0.222
44,2,4,3,1,3,2,3,1,1,34516,1984,0.734,14335,0.758,0.057
50,1,3,3,2,2,1,2,3,3,3187,986,0.615,2381,0.516,0.309
51,2,3,5,1,2,1,2,3,3,1590,1273,0.64,7352,0.818,0.801
55,2,2,3,2,3,1,2,1,1,10795,0,0.855,7855,0.528,0
50,2,3,3,2,5,1,6,3,3,22304,1333,0.463,5002,0.5,0.06
41,2,2,1,1,4,2,2,3,3,31497,2192,0.868,7685,0.533,0.07
50,2,4,5,1,5,1,4,1,3,17374,2517,0.743,15473,0.707,0.145
31,2,1,4,1,3,1,4,3,3,4260,1775,1.239,2109,0.625,0.417
48,2,2,2,1,2,1,6,3,2,4207,1921,0.766,3850,0.562,0.457
52,1,4,2,2,2,1,5,3,3,9078,1194,0.745,4458,0.812,0.132
50,2,2,3,2,4,1,1,2,1,3318,2349,0.883,4905,0.739,0.708
39,2,2,4,1,4,1,4,3,2,7410,2517,1.924,2398,1.176,0.34
53,2,3,1,1,2,1,6,4,2,7451,683,0.924,2165,0.96,0.092
42,2,4,1,3,3,1,3,2,2,18274,1623,0.681,3886,0.8,0.089
58,1,1,2,1,2,1,5,3,1,1871,1339,0.79,4553,0.731,0.716
59,2,1,5,1,2,1,4,2,2,2483,1372,1.642,1704,0.458,0.553
59,2,0,2,2,1,1,2,1,1,3790,1149,0.597,4455,0.604,0.303
37,1,3,4,2,1,1,2,3,2,2054,0,0.87,2567,0.593,0
54,2,2,1,1,3,1,3,2,3,3164,2201,0.679,4410,0.623,0.696
37,2,4,1,1,3,1,6,2,3,2846,1818,0.711,1473,1.176,0.639
62,2,1,2,1,2,1,5,3,3,2359,1242,1.043,2021,0.613,0.526
49,1,1,1,1,2,1,5,2,2,5481,0,0.784,3380,0.78,0
60,2,1,1,1,5,1,6,3,1,5130,2048,0.776,4601,0.76,0.399
47,2,3,2,1,4,1,6,2,3,10569,0,0.838,1682,1,0
45,1,5,6,1,1,3,6,3,2,15987,1096,0.625,14209,0.776,0.069
37,1,3,2,2,1,1,3,2,4,2282,0,0.741,2751,0.659,0
45,1,3,6,2,1,1,1,6,3,2917,1523,0.724,4878,0.804,0.522
32,2,1,3,1,1,1,5,3,3,6100,1520,0.853,1668,0.882,0.249
45,2,3,1,3,4,1,6,3,2,5065,1362,0.68,3555,0.471,0.269
56,1,3,3,2,1,1,1,3,4,1632,0,0.621,2509,0.424,0
38,2,3,1,1,4,1,3,1,2,7709,2227,1.295,2520,0.848,0.289
31,2,0,1,3,3,1,1,1,2,21615,570,0.737,16464,0.717,0.026
55,1,3,4,3,1,1,2,3,3,3282,2262,0.653,4674,0.585,0.689
54,2,2,2,1,5,1,3,2,3,5256,889,0.559,5078,0.685,0.169
40,1,4,3,2,1,1,6,3,4,7587,0,0.82,3157,0.844,0
43,1,2,1,1,1,2,6,2,4,10388,1961,0.703,10294,0.649,0.189
32,2,1,2,2,5,1,5,3,2,6276,2289,0.637,2637,0.388,0.365
53,1,3,4,1,1,1,6,2,3,4646,1730,0.683,1774,0.85,0.372
48,1,3,5,3,1,1,5,3,1,9943,2138,0.949,8325,1,0.215
47,2,4,4,3,3,1,6,1,3,8757,0,0.507,2108,0.516,0
44,2,4,1,1,4,1,2,2,2,4752,0,0.679,7517,0.617,0
51,2,0,6,2,4,1,6,2,3,3232,1346,0.697,5102,0.643,0.416
42,1,3,1,1,1,1,2,3,1,3794,1544,0.72,7872,0.538,0.407
39,2,2,3,2,3,3,1,3,2,34516,0,0.724,9179,0.766,0
45,2,3,1,1,4,1,3,3,3,10290,753,0.858,4326,0.761,0.073
45,1,4,1,1,1,1,5,4,2,2480,1890,0.652,4114,0.737,0.762
53,2,3,1,1,5,1,1,2,2,13670,0,0.819,4812,0.653,0
36,1,1,3,2,1,1,4,2,3,9239,1421,0.823,2246,0.833,0.154
42,1,2,2,2,1,1,2,2,3,3172,1160,0.588,4163,0.804,0.366
39,2,1,2,2,3,1,3,1,2,9680,2101,0.626,15152,0.695,0.217
49,2,0,2,2,3,1,6,3,1,1883,1295,0.81,5187,0.712,0.688
49,2,3,2,2,4,1,3,4,2,8190,1716,0.781,3529,0.787,0.21
48,1,4,2,1,1,1,4,3,2,2406,1744,0.694,4748,0.692,0.725
34,2,1,4,2,2,1,2,1,3,7452,1656,0.6,3339,0.962,0.222
56,1,1,1,1,1,1,2,1,2,5158,1148,0.637,13113,0.882,0.223
47,1,2,6,2,1,1,4,3,2,2168,1485,0.546,3828,0.72,0.685
36,1,4,2,3,2,1,6,3,3,8513,0,0.631,4162,1,0
47,2,2,1,1,4,2,4,2,2,34516,1468,0.505,1330,0.684,0.043
46,2,1,1,3,2,1,1,2,2,11343,1175,0.699,8313,0.672,0.104
42,1,3,2,1,1,1,4,3,1,9351,1482,0.464,5099,0.714,0.158
41,2,3,5,1,3,1,3,2,3,7591,0,0.648,2302,0.5,0
55,1,2,4,2,3,1,1,0,6,1438.3,0,0.608,2278,0.727,0
48,2,4,1,1,3,1,1,1,3,28307,1506,0.818,9042,0.605,0.053
52,1,0,1,1,2,1,6,2,2,7608,2373,0.95,4921,0.62,0.312
51,1,0,2,1,1,1,5,3,4,3132,1815,1.018,3607,0.935,0.58
38,1,2,3,1,1,1,2,3,2,7825,0,0.724,14326,0.786,0
46,1,2,1,2,3,1,5,2,3,8243,927,0.568,4503,0.765,0.112
44,2,2,5,1,3,1,5,1,1,34058,0,0.552,4043,0.781,0
38,2,3,4,2,4,1,6,3,4,12050,1821,0.63,2381,0.481,0.151
34,2,2,2,2,4,1,2,3,2,9719,2517,0.906,9183,0.7,0.259
41,2,3,2,1,2,1,4,3,4,1639,0,0.481,2242,0.571,0
57,2,2,2,2,5,1,5,1,2,5612,1884,0.77,4734,0.886,0.336
53,1,2,4,1,1,1,2,1,3,2160,2057,0.858,4518,0.788,0.952
47,1,4,5,1,1,1,6,2,2,1790,0,0.516,4141,0.74,0
42,2,4,4,1,3,1,3,2,3,34516,668,0.678,1698,0.763,0.019
50,1,2,3,1,1,1,3,3,2,1438.3,910,0.66,2370,0.467,0.633
38,2,1,1,2,3,1,3,3,4,26792,1671,0.938,3587,0.571,0.062
33,1,3,5,1,3,1,3,2,4,4734,2517,0.483,2275,0.897,0.532
35,1,2,1,1,2,1,2,3,3,3339,2014,0.688,4725,0.694,0.603
55,1,3,1,2,1,1,4,3,2,3968,1374,0.703,4641,0.711,0.346
52,2,4,3,1,4,1,3,2,0,5693,0,0.928,4003,0.684,0
42,1,4,3,1,2,1,1,4,2,7469,837,0.828,8281,0.739,0.112
41,2,4,1,2,2,2,4,2,4,16509,425,0.356,1740,0.387,0.026
47,2,5,3,2,3,1,6,2,3,13241,0,1.002,3157,0.551,0
57,2,2,1,1,4,1,4,1,2,2480,1584,0.874,3438,0.784,0.639
59,1,1,4,2,1,1,4,2,3,5528,1823,0.731,4857,0.723,0.33
56,2,2,2,1,3,1,1,1,1,4731,831,0.96,14952,0.788,0.176
62,1,0,1,3,1,1,3,1,1,2230,1716,0.811,4027,0.5,0.77
51,2,2,3,1,3,1,4,3,2,9773,1998,0.782,3578,0.775,0.204
43,1,4,3,3,1,1,6,3,1,1706,0,0.601,2371,0.5,0
40,1,2,4,2,1,1,4,2,3,5989,0,0.311,5843,0.176,0
39,2,2,2,1,5,1,6,3,3,34516,2517,1.052,7866,0.75,0.073
34,2,3,1,3,3,1,6,4,2,4670,0,0.883,2256,0.6,0
42,2,3,2,2,5,1,6,3,2,15108,0,1.015,3738,0.744,0
44,2,3,4,1,4,1,5,2,0,4489,0,0.693,3773,0.455,0
40,2,5,2,2,3,1,6,1,4,4042,1744,0.582,1471,0.542,0.431
53,2,4,4,2,4,1,5,3,2,14366,888,0.638,3868,0.61,0.062
